listening on :8013 mode=msg conns=2
HOST-M conn#1 seq=0 t_rel= 0.000000s gust_tus=215375381
HOST-M conn#1 seq=1 t_rel= 0.000000s gust_tus=215375433
HOST-M conn#1 seq=2 t_rel= 0.029411s gust_tus=215405286
HOST-M conn#1 seq=3 t_rel= 0.029411s gust_tus=215405324
HOST-M conn#1 seq=4 t_rel= 0.059420s gust_tus=215435278
HOST-M conn#1 seq=5 t_rel= 0.059420s gust_tus=215435314
HOST-M conn#1 seq=6 t_rel= 0.089672s gust_tus=215465414
HOST-M conn#1 seq=7 t_rel= 0.089672s gust_tus=215465451
HOST-M conn#1 seq=8 t_rel= 0.119563s gust_tus=215495375
HOST-M conn#1 seq=9 t_rel= 0.119563s gust_tus=215495411
HOST-M conn#1 seq=10 t_rel= 0.149764s gust_tus=215525545
HOST-M conn#1 seq=11 t_rel= 0.149764s gust_tus=215525584
HOST-M conn#1 seq=12 t_rel= 0.179513s gust_tus=215555281
HOST-M conn#1 seq=13 t_rel= 0.179513s gust_tus=215555314
HOST-M conn#1 seq=14 t_rel= 0.209530s gust_tus=215585298
HOST-M conn#1 seq=15 t_rel= 0.209530s gust_tus=215585333
HOST-M conn#1 seq=16 t_rel= 0.239726s gust_tus=215615495
HOST-M conn#1 seq=17 t_rel= 0.239726s gust_tus=215615524
HOST-M conn#1 seq=18 t_rel= 0.269647s gust_tus=215645422
HOST-M conn#1 seq=19 t_rel= 0.269647s gust_tus=215645458
HOST-M conn#1 seq=20 t_rel= 0.299615s gust_tus=215675361
HOST-M conn#1 seq=21 t_rel= 0.299615s gust_tus=215675399
HOST-M conn#1 seq=22 t_rel= 0.329543s gust_tus=215705297
HOST-M conn#1 seq=23 t_rel= 0.329543s gust_tus=215705333
HOST-M conn#1 seq=24 t_rel= 0.359649s gust_tus=215735386
HOST-M conn#1 seq=25 t_rel= 0.359649s gust_tus=215735423
HOST-M conn#1 seq=26 t_rel= 0.389772s gust_tus=215765613
HOST-M conn#1 seq=27 t_rel= 0.389772s gust_tus=215765644
HOST-M conn#1 seq=28 t_rel= 0.420002s gust_tus=215795607
