1787780323: mosquitto version 2.0.22 starting
1787780323: Config loaded from /home/huanglin/code/quartz/practice/lwip-ch21-mqtt/scripts/mosquitto_lab.conf.
1787780323: Opening ipv4 listen socket on port 1883.
1787780323: mosquitto version 2.0.22 running
1787780323: New connection from 127.0.0.1:39250 on port 1883.
1787780323: New client connected from 127.0.0.1:39250 as ch21bridge-3574702 (p2, c1, k60).
1787780323: No will message specified.
1787780323: Sending CONNACK to ch21bridge-3574702 (0, 0)
1787780323: Received SUBSCRIBE from ch21bridge-3574702
1787780323: 	# (QoS 1)
1787780323: ch21bridge-3574702 1 #
1787780323: Sending SUBACK to ch21bridge-3574702
1787780325: New connection from 127.0.0.1:39254 on port 1883.
1787780325: New client connected from 127.0.0.1:39254 as ESP32_000000 (p2, c1, k5).
1787780325: No will message specified.
1787780325: Sending CONNACK to ESP32_000000 (0, 0)
1787780325: Received SUBSCRIBE from ESP32_000000
1787780325: 	ch21/rtt/rsp (QoS 0)
1787780325: ESP32_000000 0 ch21/rtt/rsp
1787780325: Sending SUBACK to ESP32_000000
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Received PUBLISH from ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Sending PUBLISH to ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/req', ... (1024 bytes))
1787780325: Received PUBLISH from ch21bridge-3574702 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
1787780325: Sending PUBLISH to ESP32_000000 (d0, q0, r0, m0, 'ch21/rtt/rsp', ... (1024 bytes))
